name,surname,mail,gender,age,school,department,city_living,experience,programs,languages,gpa,degree,department_applied,salary,drivers_license,smoking,military_service,flexible_hours,group_alone,online,reference,internship,hired
Dante,Gant,dante.gant@mail.com,M,25,Gebze Technical University,Aeronautical Engineering,Ankara,5,Altium Proteus MATLAB,G,2.38,Bachelor,Electronics,38000,0,1,Not at Military Age,0,G,0,1,0,H
Dara,Draper,dara.draper@mail.com,F,22,Istanbul Technical University,Electronics and Automation Engineering,Istanbul,0,Allen Bradley PLC Omron PLC C,E,2.14,Bachelor,Automation,18000,1,1, ,0,G,1,1,0,H
Darcy,Mcalister,darcy.mcalister@mail.com,F,22,Bogazici University,Aeronautical Engineering,İzmir,0,Altium Proteus MATLAB,"E,G",3.78,Bachelor,Electronics,8000,1,0, ,0,G,1,0,0,H
Daren,Lay,daren.lay@mail.com,M,22,Koc University,Electronics and Automation Engineering,Istanbul,0,C++,"E,G",2.41,Bachelor,Programming,26000,0,0,Not at Military Age,0,G,1,1,0,H
Darian,Foust,darian.foust@mail.com,M,35,Yozgat Bozok University,Electronics and Communication Engineering,Istanbul,16,DL,"E,G",2.41,PhD or Higher,Programming,25000,0,1,Remnant,0,G,0,1, ,H
Dariana,Koehler,dariana.koehler@mail.com,M,21,Istanbul Technical University,Automotive Engineering,Ankara,0,AutoCAD Siemens NX,Other,3.04,Bachelor,Design,32000,0,1,Not at Military Age,0,G,0,0,0,N
Darin,Mcmurray,darin.mcmurray@mail.com,M,25,Ondokuz Mayis University,Electrical Electronics Engineering,Ankara,5,Ansys Solidworks,G,3.29,Master,Design,20000,0,0,Not at Military Age,0,A,0,1,1,H
Dario,Augustine,dario.augustine@mail.com,F,32,Adiyaman University,Electronics and Communication Engineering,Ankara,9,Altium,"E,G",3.02,PhD or Higher,Electronics,20000,1,0, ,0,A,0,1, ,H
Dario,Ainsworth,dario.ainsworth@mail.com,M,27,Hacettepe University,Electronics and Communication Engineering,Istanbul,7,OOP MATLAB C# ML,G,3.72,Master,Programming,44000,1,1,Not at Military Age,1,A,0,1, ,H
Darion,Paulsen,darion.paulsen@mail.com,M,27,Bilkent University,Aeronautical Engineering,Sakarya,5,OOP MATLAB, ,2.40,Master,Programming,13000,0,1,Not at Military Age,0,A,1,1,0,N
Darius,Krueger,darius.krueger@mail.com,F,18,Istanbul 29 Mayis University,Electrical Electronics Engineering,Kocaeli,0,OOP MATLAB C# ML,G,3.21,Bachelor,Programming,8000,0,1, ,0,G,1,0,1,H
Darnell,Pruitt,darnell.pruitt@mail.com,F,18,Istanbul University,Electronics and Communication Engineering,Duzce,0,Siemens PLC Mitsubishi PLC Schneider Electric PLC,Other,3.09,Bachelor,Automation,31000,0,1, ,0,G,0,1,1,H
Darrell,Ferguson,darrell.ferguson@mail.com,F,42,cukurova University,Aeronautical Engineering,Istanbul,20,Altium,G,3.26,Master,Electronics,37000,0,1, ,0,A,1,0, ,H
Darrien,Ruby,darrien.ruby@mail.com,M,45,Hacettepe University,Mechatronics Engineering,Istanbul,25,Solidworks Fusion 360 AutoCAD Siemens NX,G,3.55,Master,Design,42000,1,0,Delayed,0,A,0,1, ,H
Darrius,Eldridge,darrius.eldridge@mail.com,M,37,University of Turkish Aeronautical Association,Automotive Engineering,Istanbul,12,C# ML C Python,E,2.40,Master,Programming,8000,1,1,Remnant,0,G,1,1, ,H
Dashaun,Waggoner,dashaun.waggoner@mail.com,M,26,Gebze Technical University,Electronics and Automation Engineering,Istanbul,7,C# ML C Python,"E,G",2.92,Master,Programming,29000,1,1,Not at Military Age,0,G,0,0, ,N
Dashawn,Castaneda,dashawn.castaneda@mail.com,F,40,Istanbul Technical University,Mechanical Engineering,Kocaeli,20,Altium Proteus MATLAB,Other,3.67,Master,Electronics,13000,1,0, ,0,G,0,0, ,H
Daveon,Valles,daveon.valles@mail.com,M,43,Hacettepe University,Automotive Engineering,Ankara,16,Proteus,Other,2.48,Master,Test,37000,1,1,Delayed,0,A,1,1, ,N
David,Rowan,david.rowan@mail.com,M,39,Istanbul University,Electrical Electronics Engineering,Istanbul,13,C++ C, ,3.23,Bachelor,Programming,22000,0,0,Delayed,0,A,1,1, ,N
Davon,Chappell,davon.chappell@mail.com,F,42,Middle East Technical University,Electronics and Communication Engineering,Istanbul,24,Solidworks Fusion 360 AutoCAD Siemens NX,G,2.29,PhD or Higher,Design,12000,0,1, ,0,A,1,1, ,H
Davonte,Calloway,davonte.calloway@mail.com,M,42,Hacettepe University,Automotive Engineering,Istanbul,21,Schneider Electric PLC, ,2.98,PhD or Higher,Automation,32000,1,1,Remnant,0,G,0,0, ,N
Dawn,Amato,dawn.amato@mail.com,F,31,Istanbul University,Mechatronics Engineering,Ankara,12,Siemens NX,E,3.27,Master,Design,13000,1,1, ,1,A,0,0, ,H
Daysha,Vidal,daysha.vidal@mail.com,M,26,Istanbul University-Cerrahpasa,Electronics and Communication Engineering,Istanbul,4,Allen Bradley PLC Omron PLC C, ,2.27,Bachelor,Automation,14000,0,1,Not at Military Age,0,A,1,0,1,N
Deana,Newcomb,deana.newcomb@mail.com,F,38,Koc University,Automotive Engineering,Istanbul,17,MATLAB Altium,G,3.13,PhD or Higher,Electronics,14000,0,1, ,1,G,0,0, ,H
Deandre,Weinberg,deandre.weinberg@mail.com,F,28,Yildiz Technical University,Automotive Engineering,İzmir,5,Allen Bradley PLC, ,3.53,PhD or Higher,Automation,15000,1,1, ,0,G,0,0,1,N
Deandre,Kitchen,deandre.kitchen@mail.com,M,28,Koc University,Mechanical Engineering,Istanbul,1,MATLAB,Other,2.97,Bachelor,Electronics,8000,0,1,Exempted,0,A,0,0,0,H
Debra,Cornell,debra.cornell@mail.com,M,35,Yildiz Technical University,Mechanical Engineering,Istanbul,17,MATLAB Proteus C++,G,3.48,PhD or Higher,Electronics,49000,0,0,Exempted,0,G,1,0, ,H
Declan,Hutchison,declan.hutchison@mail.com,M,20,Istanbul Technical University,Electrical Electronics Engineering,Istanbul,0,C++ C DL, ,2.79,Bachelor,Programming,14000,1,1,Not at Military Age,0,G,0,0,1,N
Deion,Rinehart,deion.rinehart@mail.com,F,21,Hacettepe University,Electronics and Automation Engineering,Ankara,0,Altium,G,2.29,Bachelor,Electronics,19000,1,1, ,0,G,0,1,1,H
Deja,Burger,deja.burger@mail.com,M,32,Gumushane University,Aeronautical Engineering,Istanbul,8,MATLAB C++ C ML DL,"E,G",2.70,Bachelor,Programming,24000,0,0,Delayed,0,G,1,0, ,H
Dejah,Weiss,dejah.weiss@mail.com,M,39,Hacettepe University,Electronics and Automation Engineering,Istanbul,16,Proteus,"E,G",2.74,Bachelor,Electronics,20000,0,1,Remnant,0,A,0,0, ,N
Delanie,Malloy,delanie.malloy@mail.com,F,43,Hacettepe University,Electronics and Automation Engineering,Istanbul,19,Proteus,Other,2.10,PhD or Higher,Test,40000,0,0, ,0,A,0,1, ,N
Demarco,Waters,demarco.waters@mail.com,M,24,Demiroglu Bilim University,Mechatronics Engineering,Ankara,3,MATLAB,E,3.51,Bachelor,Design,10000,0,1,Not at Military Age,0,A,0,0,0,H
Demarcus,Lugo,demarcus.lugo@mail.com,M,39,Yildiz Technical University,Electrical Electronics Engineering,Istanbul,12,Fusion 360 AutoCAD matlab,E,3.15,Master,Design,22000,1,1,Delayed,0,G,0,1, ,H
Demi,Copeland,demi.copeland@mail.com,F,18,Koc University,Automotive Engineering,Karabuk,0,Solidworks,G,2.08,Bachelor,Design,22000,1,0, ,0,G,1,1,1,H
Demond,Kaiser,demond.kaiser@mail.com,M,40,Bilkent University,Electronics and Automation Engineering,Istanbul,21,Ansys Solidworks Solidworks Fusion 360,G,3.29,Bachelor,Design,49000,1,0,Uncertain,0,G,0,1, ,N
Denis,Schell,denis.schell@mail.com,F,45,Sabanci University,Aeronautical Engineering,Ankara,25,Siemens PLC, ,3.09,Bachelor,Automation,19000,1,1, ,0,G,0,0, ,N
Denisse,Ogden,denisse.ogden@mail.com,F,18,Bahcesehir University,Electrical Electronics Engineering,Ankara,0,MATLAB,G,2.27,Bachelor,Test,22000,1,1, ,0,A,1,1,1,N
Denzel,Prince,denzel.prince@mail.com,F,29,Middle East Technical University,Mechatronics Engineering,Istanbul,6,Altium Proteus MATLAB, ,3.31,PhD or Higher,Test,45000,1,1, ,0,G,0,1, ,N
Deon,Ryder,deon.ryder@mail.com,F,37,Duzce University,Electrical Electronics Engineering,Ankara,13,Schneider Electric PLC Allen Bradley PLC Omron PLC,G,2.87,Bachelor,Automation,29000,1,0, ,1,G,0,0, ,H
Deon,Sandlin,deon.sandlin@mail.com,M,22,Istanbul University,Electronics and Automation Engineering,Istanbul,0,Altium Proteus MATLAB,Other,2.86,Bachelor,Electronics,22000,0,0,Not at Military Age,0,G,0,0,0,H
Deondre,Santillan,deondre.santillan@mail.com,M,29,Sakarya University,Electrical Electronics Engineering,Istanbul,5,Fusion 360 Siemens NX,E,3.85,Master,Design,23000,1,0,Delayed,0,A,1,0,1,H
Deonte,Guzman,deonte.guzman@mail.com,M,42,Koc University,Automotive Engineering,Ankara,25,Ansys,Other,2.86,Bachelor,Design,13000,1,0,Exempted,0,G,0,1, ,H
Derick,Cottrell,derick.cottrell@mail.com,F,42,Gebze Technical University,Electronics and Communication Engineering,Kocaeli,19,Schneider Electric PLC Allen Bradley PLC,G,3.58,Master,Automation,48000,0,0, ,0,A,1,1, ,H
Derrick,Messina,derrick.messina@mail.com,F,35,Koc University,Mechatronics Engineering,Istanbul,12,C,E,2.89,Master,Programming,28000,1,1, ,0,A,0,1, ,H
Deshaun,Kiefer,deshaun.kiefer@mail.com,F,43,Middle East Technical University,Mechatronics Engineering,Ankara,23,Fusion 360 Catia,"E,G",3.01,PhD or Higher,Design,26000,1,1, ,0,G,1,1, ,H
Desirae,Graham,desirae.graham@mail.com,M,32,Middle East Technical University,Electrical Electronics Engineering,Gaziantep,8,Schneider Electric PLC Allen Bradley PLC Omron PLC, ,3.07,Master,Automation,41000,1,0,Uncertain,0,G,0,0, ,N
Desmond,Coffman,desmond.coffman@mail.com,F,25,Hacettepe University,Electronics and Communication Engineering,Ankara,7,Fusion 360 AutoCAD, ,2.93,Bachelor,Design,22000,1,1, ,0,G,1,0, ,N
Destinie,Guevara,destinie.guevara@mail.com,F,41,Koc University,Mechatronics Engineering,Siirt,20,Allen Bradley PLC,Other,3.46,PhD or Higher,Automation,10000,0,0, ,0,G,1,1, ,H
Devin,Pfeiffer,devin.pfeiffer@mail.com,F,40,Bartin University,Automotive Engineering,Ankara,23,Proteus,E,3.09,Bachelor,Test,25000,0,0, ,0,A,0,0, ,N
Devon,Ashworth,devon.ashworth@mail.com,F,34,Bezmialem Foundation University,Mechatronics Engineering,Ankara,11,Fusion 360 Siemens NX,Other,3.07,Bachelor,Design,33000,1,0, ,0,G,1,1, ,H
Devonte,Champagne,devonte.champagne@mail.com,M,31,Istanbul University-Cerrahpasa,Automotive Engineering,Istanbul,8,Fusion 360 Siemens NX, ,3.84,PhD or Higher,Design,20000,1,0,Remnant,0,G,1,1, ,N
Devyn,House,devyn.house@mail.com,M,26,Gebze Technical University,Electrical Electronics Engineering,Ankara,7,Altium Proteus,Other,2.01,Bachelor,Test,27000,0,1,Not at Military Age,0,G,1,1, ,N
Dianna,Purvis,dianna.purvis@mail.com,F,36,Bogazici University,Mechanical Engineering,Trabzon,15,MATLAB Proteus C++,G,3.77,Master,Electronics,16000,1,1, ,1,A,0,1, ,H
Diego,Mullis,diego.mullis@mail.com,F,35,Koc University,Electronics and Automation Engineering,Istanbul,14,Altium Proteus MATLAB, ,2.54,Bachelor,Test,14000,1,1, ,0,G,0,1, ,N
Dillon,Grimm,dillon.grimm@mail.com,M,19,Kayseri University,Electronics and Automation Engineering,Trabzon,0,MATLAB Altium, ,2.80,Bachelor,Test,11000,0,1,Not at Military Age,0,A,1,1,0,N
Dixie,Meeks,dixie.meeks@mail.com,M,31,Afyonkarahisar University of Health Sciences,Aeronautical Engineering,Istanbul,8,Java,G,3.24,PhD or Higher,Programming,24000,1,1,Exempted,0,A,1,0, ,H
Dominic,Li,dominic.li@mail.com,M,28,Istanbul University,Control and Automation Engineering,İzmir,5,Altium Proteus,E,3.16,Bachelor,Electronics,25000,1,1,Exempted,1,A,1,0,0,H
Dominique,Wiese,dominique.wiese@mail.com,M,20,Istanbul Technical University,Electrical Electronics Engineering,Ankara,0,Altium Proteus MATLAB, ,3.32,Bachelor,Test,37000,0,0,Not at Military Age,0,A,0,0,1,N
Don,Bonds,don.bonds@mail.com,M,42,Yildiz Technical University,Automotive Engineering,Istanbul,22,C++ C DL DL OOP, ,2.14,Master,Programming,27000,1,1,Remnant,0,A,1,0, ,N
Donavon,Lanier,donavon.lanier@mail.com,F,35,Bogazici University,Control and Automation Engineering,Ankara,13,Schneider Electric PLC C++,E,3.13,Master,Automation,43000,0,0, ,1,G,1,0, ,H
Donnell,Higdon,donnell.higdon@mail.com,F,39,Koc University,Electrical Electronics Engineering,İzmir,14,OOP,Other,3.19,Bachelor,Programming,8000,1,0, ,0,G,0,0, ,N
Donnie,Richter,donnie.richter@mail.com,F,43,Bogazici University,Electrical Electronics Engineering,Kocaeli,20,Altium Proteus MATLAB,E,3.36,Bachelor,Test,42000,0,0, ,0,G,0,1, ,N
Dontae,Joseph,dontae.joseph@mail.com,F,35,Gebze Technical University,Aeronautical Engineering,Istanbul,15,Siemens PLC Mitsubishi PLC Schneider Electric PLC,E,3.43,Master,Automation,18000,1,0, ,0,A,0,1, ,H
Dora,Keeney,dora.keeney@mail.com,F,21,Yildiz Technical University,Automotive Engineering,Istanbul,0,Altium Proteus MATLAB,E,3.63,Bachelor,Electronics,11000,0,1, ,0,A,1,0,0,H
Dorian,Arenas,dorian.arenas@mail.com,M,26,Eskisehir Technical University,Electronics and Communication Engineering,Istanbul,7,Altium,G,2.33,Bachelor,Electronics,45000,1,0,Not at Military Age,0,G,0,1, ,H
Draven,Chiu,draven.chiu@mail.com,F,39,Istanbul University,Electrical Electronics Engineering,Istanbul,15,Fusion 360 AutoCAD MATLAB Siemens NX,"E,G",2.47,PhD or Higher,Design,41000,0,0, ,0,G,0,0, ,N
Drew,Jarvis,drew.jarvis@mail.com,M,34,Hacettepe University,Electronics and Communication Engineering,Istanbul,8,Omron PLC,Other,3.92,Master,Automation,34000,1,1,Exempted,0,A,1,1, ,H
Drew,Farr,drew.farr@mail.com,M,38,Sivas Cumhuriyet University,Automotive Engineering,Batman,16,C Python OOP,"E,G",3.01,Bachelor,Programming,36000,0,0,Exempted,1,G,1,0, ,H
Dustin,Barnhart,dustin.barnhart@mail.com,M,30,Mardin Artuklu University,Electronics and Automation Engineering,Istanbul,9,MATLAB Altium,Other,3.64,Master,Electronics,26000,0,0,Delayed,0,A,0,1, ,H
Dustyn,Holt,dustyn.holt@mail.com,F,43,Istanbul Technical University,Aeronautical Engineering,Sinop,22,MATLAB,Other,3.10,PhD or Higher,Test,50000,1,0, ,0,G,1,1, ,N
Dwayne,Amato,dwayne.amato@mail.com,F,44,Sabanci University,Electronics and Communication Engineering,Ankara,18,MATLAB Altium,Other,3.51,PhD or Higher,Test,31000,0,0, ,0,A,1,0, ,N
Dylan,Earl,dylan.earl@mail.com,M,25,Ege University,Electronics and Communication Engineering,Istanbul,7,MATLAB Altium,E,3.00,Bachelor,Electronics,24000,1,1,Not at Military Age,0,A,0,0, ,H
Dylan,Delarosa,dylan.delarosa@mail.com,M,27,Hacettepe University,Electronics and Communication Engineering,Istanbul,3,Altium,Other,3.17,Bachelor,Electronics,11000,0,1,Not at Military Age,0,A,1,0,0,H
Dyllan,Amaya,dyllan.amaya@mail.com,F,42,Bogazici University,Electrical Electronics Engineering,Ankara,25,Java C#,"E,G",2.56,Bachelor,Programming,34000,0,1, ,0,A,0,1, ,H
Dylon,Homan,dylon.homan@mail.com,F,39,Bandirma Onyedi Eylul University,Aeronautical Engineering,Istanbul,15,Siemens PLC Mitsubishi PLC,"E,G",3.65,Master,Automation,39000,1,1, ,0,A,1,0, ,H
Dylon,Wicker,dylon.wicker@mail.com,M,27,Middle East Technical University,Electronics and Communication Engineering,Istanbul,5,C#,E,2.83,Master,Programming,22000,1,1,Not at Military Age,0,G,0,1,1,H
Dymond,Jaeger,dymond.jaeger@mail.com,M,33,Gebze Technical University,Electronics and Automation Engineering,Sakarya,9,Altium,E,2.06,Master,Test,27000,1,1,Exempted,0,G,0,0, ,N
Earl,Carmona,earl.carmona@mail.com,F,37,Istanbul University,Automotive Engineering,Istanbul,13,MATLAB,E,2.02,Master,Electronics,20000,1,1, ,0,G,0,1, ,H
Easton,Shultz,easton.shultz@mail.com,F,44,Yildiz Technical University,Electronics and Communication Engineering,Istanbul,19,MATLAB,G,2.38,PhD or Higher,Electronics,50000,1,1, ,0,A,1,0, ,H
Edgar,Noonan,edgar.noonan@mail.com,F,36,Bilkent University,Automotive Engineering,Istanbul,16,MATLAB Altium, ,2.41,Master,Test,11000,0,1, ,0,G,1,0, ,N
Edith,Ibarra,edith.ibarra@mail.com,F,34,Istanbul University,Automotive Engineering,Kocaeli,10,Fusion 360 AutoCAD,E,2.51,Master,Design,45000,0,1, ,0,G,0,1, ,H
Edna,Burdette,edna.burdette@mail.com,F,31,Hacettepe University,Mechatronics Engineering,Istanbul,15,Python Java,"E,G",3.00,PhD or Higher,Programming,40000,0,1, ,1,A,1,0, ,H
Edward,Broyles,edward.broyles@mail.com,F,23,Istanbul University-Cerrahpasa,Aeronautical Engineering,Istanbul,3,Mitsubishi PLC,G,2.20,Bachelor,Automation,40000,0,1, ,0,A,1,0,1,H
Efrain,Soriano,efrain.soriano@mail.com,M,40,Istanbul University-Cerrahpasa,Aeronautical Engineering,Bolu,25,Altium Proteus MATLAB,"E,G",3.65,Master,Test,25000,0,0,Remnant,0,A,1,1, ,N
Efren,Royal,efren.royal@mail.com,M,21,Istanbul University-Cerrahpasa,Aeronautical Engineering,Istanbul,0,Altium, ,2.14,Bachelor,Electronics,28000,1,1,Not at Military Age,0,G,0,0,1,N
Elana,Crisp,elana.crisp@mail.com,M,37,Middle East Technical University,Mechatronics Engineering,Istanbul,12,Altium Proteus,Other,2.04,PhD or Higher,Electronics,44000,0,0,Delayed,0,A,0,0, ,N
Eleanor,Hughes,eleanor.hughes@mail.com,F,44,Yildiz Technical University,Aeronautical Engineering,Kocaeli,16,C# ML C++ C,G,2.51,Master,Programming,45000,0,1, ,0,A,1,0, ,H
Elena,Levine,elena.levine@mail.com,F,18,Sabanci University,Aeronautical Engineering,Istanbul,0,Ansys Solidworks,G,3.55,Bachelor,Design,12000,0,0, ,0,G,1,1,1,H
Elian,Earl,elian.earl@mail.com,F,40,Kocaeli University,Electronics and Communication Engineering,Ankara,24,Altium Proteus MATLAB,"E,G",2.92,PhD or Higher,Electronics,34000,0,0, ,1,A,1,0, ,H
Elisa,Wylie,elisa.wylie@mail.com,F,37,cukurova University,Electronics and Automation Engineering,Istanbul,16,Ansys Solidworks Solidworks Fusion 360,Other,2.66,Bachelor,Design,39000,1,1, ,0,G,0,0, ,N
Elisabeth,Becerra,elisabeth.becerra@mail.com,M,32,Istanbul University-Cerrahpasa,Aeronautical Engineering,Istanbul,11,MATLAB,G,3.60,Bachelor,Test,13000,1,0,Remnant,0,G,0,1, ,N
Elizabeth,Hall,elizabeth.hall@mail.com,F,22,Sabanci University,Electronics and Automation Engineering,Istanbul,0,Schneider Electric PLC C++, ,2.13,Bachelor,Automation,45000,1,1, ,0,A,1,0,1,N
Ella,Barfield,ella.barfield@mail.com,M,37,Akdeniz University,Electronics and Communication Engineering,Istanbul,14,Proteus,E,3.63,PhD or Higher,Test,31000,0,0,Delayed,0,G,1,0, ,N
Ellen,Kent,ellen.kent@mail.com,M,37,Mersin University,Electrical Electronics Engineering,Istanbul,16,Schneider Electric PLC Allen Bradley PLC Omron PLC,E,3.64,Bachelor,Automation,26000,1,1,Exempted,0,A,0,0, ,H
Ellie,Vargas,ellie.vargas@mail.com,F,37,Sabanci University,Mechatronics Engineering,Aksaray,15,Siemens NX,G,2.80,PhD or Higher,Design,39000,1,1, ,0,A,0,0, ,N
Ellis,Kinney,ellis.kinney@mail.com,M,29,Middle East Technical University,Mechatronics Engineering,Istanbul,5,C# ML C++ C,G,3.69,Bachelor,Programming,34000,1,1,Uncertain,0,G,1,1,0,H
Elsie,Hinojosa,elsie.hinojosa@mail.com,M,35,Bilkent University,Automotive Engineering,Istanbul,13,Ansys Solidworks MATLAB,"E,G",3.77,Master,Design,29000,0,1,Remnant,0,G,0,0, ,N
Elvin,Vogt,elvin.vogt@mail.com,F,35,Kutahya Dumlupinar University,Automotive Engineering,Istanbul,14,Altium Proteus,G,3.57,PhD or Higher,Electronics,13000,0,0, ,0,G,0,1, ,H
Elyssa,Balderas,elyssa.balderas@mail.com,F,40,Bogazici University,Aeronautical Engineering,Istanbul,25,Mitsubishi PLC,"E,G",3.69,PhD or Higher,Automation,13000,1,0, ,0,G,1,0, ,H
Emerson,Mark,emerson.mark@mail.com,F,42,Hacettepe University,Electronics and Communication Engineering,Istanbul,22,Altium,"E,G",3.08,PhD or Higher,Test,47000,1,0, ,0,G,0,0, ,N
Emery,Gaines,emery.gaines@mail.com,F,33,Istanbul University,Mechatronics Engineering,Ankara,9,Java C# C++ C, ,2.54,Bachelor,Programming,14000,1,1, ,0,G,0,1, ,N
Emiliano,Varner,emiliano.varner@mail.com,F,18,Istanbul University-Cerrahpasa,Mechanical Engineering,Istanbul,0,MATLAB,Other,3.32,Bachelor,Design,13000,0,0, ,0,G,1,1,1,H
Emily,Fugate,emily.fugate@mail.com,F,45,Middle East Technical University,Control and Automation Engineering,Istanbul,23,Altium Proteus MATLAB,Other,3.07,Bachelor,Electronics,47000,1,0, ,0,G,0,1, ,H
Emma,France,emma.france@mail.com,F,34,Hacettepe University,Aeronautical Engineering,Kocaeli,12,MATLAB Altium,E,3.24,Bachelor,Test,24000,1,1, ,0,G,1,0, ,N
Emmanuel,Edmonds,emmanuel.edmonds@mail.com,F,21,Karabuk University,Automotive Engineering,Ankara,0,Allen Bradley PLC Omron PLC C, ,2.41,Bachelor,Automation,11000,1,0, ,0,G,0,1,1,N
Enoch,Ebert,enoch.ebert@mail.com,F,38,Hacettepe University,Electronics and Communication Engineering,Istanbul,14,ML DL Python Java,E,2.91,Master,Programming,28000,1,0, ,0,G,0,0, ,N
Enrique,Bourque,enrique.bourque@mail.com,M,40,Kocaeli University,Aeronautical Engineering,Istanbul,22,Schneider Electric PLC C++,"E,G",3.56,PhD or Higher,Automation,16000,1,1,Uncertain,1,G,0,1, ,H
Enzo,Garibay,enzo.garibay@mail.com,F,29,Toros University,Mechatronics Engineering,Kocaeli,5,Omron PLC C,G,2.38,Master,Automation,20000,1,1, ,0,G,0,1,0,H
Eric,Hastings,eric.hastings@mail.com,M,40,Bogazici University,Aeronautical Engineering,Konya,25,MATLAB C++ C# Python,"E,G",3.55,Bachelor,Programming,13000,0,1,Exempted,1,A,0,1, ,H
Erica,Weatherford,erica.weatherford@mail.com,F,36,Sabanci University,Automotive Engineering,Istanbul,10,Siemens PLC,G,3.39,Bachelor,Automation,17000,1,0, ,1,G,0,0, ,H
Erik,Faulk,erik.faulk@mail.com,M,33,Istanbul Technical University,Automotive Engineering,Istanbul,9,Solidworks AutoCAD ,E,2.23,Master,Design,35000,0,1,Exempted,0,G,0,1, ,H
Ernesto,Faulkner,ernesto.faulkner@mail.com,M,35,Bogazici University,Mechatronics Engineering,Istanbul,14,AutoCAD Siemens NX,Other,3.48,Bachelor,Design,15000,1,1,Remnant,0,G,1,0, ,H
Eryn,Redmond,eryn.redmond@mail.com,M,38,Middle East Technical University,Electrical Electronics Engineering,Istanbul,13,Solidworks Fusion 360,E,3.10,PhD or Higher,Design,33000,0,0,Exempted,0,A,1,0, ,H
Esmeralda,Colon,esmeralda.colon@mail.com,F,18,Koc University,Electronics and Communication Engineering,Istanbul,0,C# ML C Python,G,3.94,Bachelor,Programming,42000,0,0, ,0,A,0,0,1,N
Esperanza,Adam,esperanza.adam@mail.com,F,22,Istanbul Technical University,Mechatronics Engineering,Ankara,0,Proteus,E,2.89,Bachelor,Test,43000,0,1, ,0,A,0,0,0,N
Essence,Floyd,essence.floyd@mail.com,F,19,Kocaeli University,Automotive Engineering,Istanbul,0,Altium Proteus MATLAB, ,2.36,Bachelor,Electronics,26000,1,0, ,0,A,1,1,0,N
Esteban,Landon,esteban.landon@mail.com,M,23,Middle East Technical University,Aeronautical Engineering,Kocaeli,2,Schneider Electric PLC Allen Bradley PLC,"E,G",2.89,Bachelor,Automation,44000,1,1,Not at Military Age,0,G,0,0,0,N
Estefany,Kaplan,estefany.kaplan@mail.com,F,21,Bilkent University,Mechatronics Engineering,Istanbul,0,Omron PLC,G,3.80,Bachelor,Automation,25000,1,0, ,0,A,0,1,0,H
Estevan,Guenther,estevan.guenther@mail.com,M,32,Hacettepe University,Automotive Engineering,Erzurum,9,Siemens PLC C,Other,2.12,PhD or Higher,Automation,28000,1,0,Exempted,0,G,1,0, ,H
Evelyn,Esparza,evelyn.esparza@mail.com,M,37,Bogazici University,Mechatronics Engineering,Ankara,15,Schneider Electric PLC Allen Bradley PLC,G,3.09,Bachelor,Automation,9000,0,1,Exempted,0,A,1,1, ,H
Everardo,Sam,everardo.sam@mail.com,M,18,Middle East Technical University,Electronics and Communication Engineering,Kocaeli,0,Solidworks Fusion 360 AutoCAD Siemens NX,"E,G",3.47,Bachelor,Design,33000,1,1,Not at Military Age,0,A,1,0,1,H
Fabian,Payne,fabian.payne@mail.com,F,31,Fatih Sultan Mehmet University,Automotive Engineering,Kocaeli,13,Ansys Solidworks Solidworks Fusion 360,"E,G",3.28,Master,Design,19000,0,0, ,0,A,1,1, ,H
Faith,Osullivan,faith.osullivan@mail.com,F,30,Beykent University,Electrical Electronics Engineering,Istanbul,12,Allen Bradley PLC Omron PLC C,G,2.46,Master,Automation,23000,0,0, ,0,A,1,0, ,H
Fallon,Salgado,fallon.salgado@mail.com,M,21,Bogazici University,Automotive Engineering,Ankara,0,Python,"E,G",2.69,Bachelor,Programming,50000,1,0,Not at Military Age,0,A,0,0,0,N
Fernanda,Colburn,fernanda.colburn@mail.com,M,21,Sakarya University,Electronics and Automation Engineering,Ankara,0,Python Java, ,2.52,Bachelor,Programming,34000,0,1,Not at Military Age,0,A,1,0,1,N
Finn,Wilkins,finn.wilkins@mail.com,F,41,Bilkent University,Automotive Engineering,Ankara,24,Omron PLC C,E,3.09,Master,Automation,21000,0,1, ,0,A,0,0, ,N
Finn,Hicks,finn.hicks@mail.com,M,39,Koc University,Electronics and Communication Engineering,Kocaeli,15,C# ML C Python,G,3.97,Master,Programming,35000,1,1,Uncertain,1,A,1,1, ,H
Floyd,Schaeffer,floyd.schaeffer@mail.com,F,38,Ondokuz Mayis University,Mechatronics Engineering,Istanbul,13,Fusion 360 Siemens NX MATLAB, ,2.45,PhD or Higher,Design,13000,0,0, ,0,G,0,1, ,N
Forrest,Medina,forrest.medina@mail.com,F,35,Gebze Technical University,Mechatronics Engineering,Bingol,13,C++,E,2.74,Bachelor,Programming,39000,0,0, ,0,G,0,0, ,N
Francisco,Gibson,francisco.gibson@mail.com,M,25,Bilkent University,Automotive Engineering,Ankara,6,Allen Bradley PLC,G,2.72,Bachelor,Automation,10000,1,0,Not at Military Age,0,G,0,0, ,H
Frank,Luu,frank.luu@mail.com,M,28,Aksaray University,Aeronautical Engineering,Istanbul,7,Fusion 360 AutoCAD,"E,G",2.61,PhD or Higher,Design,27000,1,0,Remnant,0,G,0,1, ,H
Frankie,Bowens,frankie.bowens@mail.com,M,30,Yildiz Technical University,Electronics and Communication Engineering,Istanbul,12,Altium,"E,G",3.74,Bachelor,Electronics,34000,1,1,Remnant,0,A,0,1, ,H
